name,address,lat,lng,status,phone,website,facebook,services,power,pets,capacity,notes,coords_approx,feeding,road_access
Big Valley Rancheria Community Center,"1002 Osprey Ct, Lakeport, CA 95453",39.015980,-122.893504,Active,707-263-3924,https://www.bvrancheria.com,,cooling|warming|overnight,electric|battery,"Pets in carrier, kennel, or leash OK inside",100,"Announcements via BVR Social Services Facebook page at least 2 hours before opening. Wheelchair accessible. 1002 Osprey Court is address of gymnasium — follow signs.",false,"Can purchase one meal on short notice for up to 50 people. Commercial kitchen available with food supply access.","Osprey Court is accessible via Soda Bay Road only. Community Center is on the right — look for large Big Valley sign on the building. Parking on the north side. Wheelchair accessible."
United Christian Parish,"745 N Brush St, Lakeport, CA 95453",39.0550,-122.9163,Active,707-263-4788,https://ucplakeport.org,,cooling|warming,generator|electric|battery,Pets outside (shaded area and water available),100,"ADA-compliant restrooms. Parking off Brush, 7th, and 8th Streets.",false,"Food pantry for snacks. Can purchase one meal on short notice for up to 50 people.","Main entrance off Brush Street; additional entrances off 7th and 8th Streets in Lakeport."
Galilee Lutheran Church,"8860 Soda Bay Rd, Kelseyville, CA 95453",38.981321,-122.742284,Active,707-279-4832,https://www.galileelutheran.org,,cooling|warming,electric|solar|generator|battery,No pets inside,,"Still working on full volunteer staffing.",false,,
Clearlake Senior Center,"3245 Bowers Ave, Clearlake, CA 95422",38.9659,-122.6306,Active,707-994-3051,https://hsscclearlake.org,,cooling|warming,generator|battery,Pets outside (shaded area and water available),,"Staffing assistance needed for activation.",true,,
Kelseyville Presbyterian Church,"4021 Church St, Kelseyville, CA 95451",38.9768,-122.8358,Active,707-279-1104,https://www.kelseyvillepresbyterian.org,,cooling|overnight,solar|generator|electric|battery,"Pets in carrier, kennel, or leash OK inside",250,"ADA-compliant bathrooms. Safe parking and bike rack.",true,"Food pantry for snacks. Commercial kitchen can serve 75 or more people within 3 hours of notice.","Church Street is accessible from Third, Fourth, Fifth, Sixth, and Main Streets."
Middletown Community UMC,"15833 Armstrong St, Middletown, CA 95461",38.7514,-122.6145,Active,415-786-6379,,,warming,electric,No pets inside,,"Please provide early notice before activation.",true,,
Cobb Mountain Lion's Club,"15780 Bottle Rock Rd, Cobb, CA 95426",38.8317,-122.7214,Active,707-715-7008,https://www.facebook.com/mountainlionscobb,,cooling|warming,generator|battery,No pets inside,100,,false,"Commercial kitchen; can provide meals for 75 or more people within 3 hours of notice.","Single road for ingress and egress."
Clear Lake Grange,"1510 Big Valley Rd, Finley, CA 95435",39.0006,-122.8847,Active,707-530-6357,,,cooling|warming|overnight,electric|battery,Pets outside (shaded area and water available),240,"ADA restrooms.",false,"Inspected kitchen can prepare food for up to 75 people; no storage for perishables.","Two access routes: from Hwy 29 and from Soda Bay Rd. Plenty of parking."
Habematolel Pomo of Upper Lake Tribal Hall,"9460 Main St, Upper Lake, CA 95485",39.1639,-122.9109,Setup,707-275-0737,https://www.hpultribe-nsn.gov,,cooling|warming|overnight,generator|electric|battery,No pets inside or outside,55,"Not yet open — in setup process. Storage for MRE and kennels. Parking available down the street.",true,"Requires meals to be brought in by a partner agency. Small kitchen and commercial kitchen available if food is supplied.","Multiple roads: Main Street via Mendenhall, and Government Street to Washington Street."
Scotts Valley Band of Pomo Indians Tribal Office,"804 11th St, Lakeport, CA 95453",39.0491,-122.9217,Setup,707-530-5566,https://www.scottsvalley-nsn.gov,,,electric|battery,No pets inside,,In the process of becoming a Resilience Center.,true,,
Lucerne Alpine Senior Center,"3985 Country Club Lane, Lucerne, CA 95458",39.091297,-122.792590,Active,707-274-8779,https://www.lucernealpineseniorcenter.org/,,cooling|warming,solar|battery,No pets inside,150,,false,"Commercial kitchen; can provide meals for 75 or more people within 3 hours of notice.","Good road access."
